37959.hospitaltype,Acute XarX Hospitals,Acute Care Hospitals
48216.measurename,Pneumonia Patients Whose Initial Emergency Room Blood CuXture Was PerformXd Prior To The Administration Of The First Hospital Dose Of Antibiotics,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics
14284.hospitaltype,Acute CXXe Hospitals,Acute Care Hospitals
25967.stateavg,HI_HX-X,HI_HF-3
13458.address1,6001 NORRXS CANYXN ROAD,6001 NORRIS CANYON ROAD
35713.address1,1000 WEST LXNCXLNWAY,1000 WEST LINCOLNWAY
8591.city,SAN BERNXRDXNO,SAN BERNARDINO
13060.city,LXS ANGELEX,LOS ANGELES
21337.hospitaltype,Acute Care XosXitals,Acute Care Hospitals
34689.hospitaltype,Acute CarX HoXpitals,Acute Care Hospitals
3545.stateavg,AX_HF-X,AZ_HF-4
27366.stateavg,XL_AMI-8X,IL_AMI-8A
26450.city,XAMPX,NAMPA
13792.address1,3001 SILLECT AVEXXE,3001 SILLECT AVENUE
8129.measurename,HeaXt Attack Patients Given Aspirin at DischargX,Heart Attack Patients Given Aspirin at Discharge
45023.hospitaltype,Critical Access HXspitalX,Critical Access Hospitals
20275.hospitaltype,AcuXe Care HospXtals,Acute Care Hospitals
15367.city,BRXGXTON,BRIGHTON
26536.city,SXNDPOIXT,SANDPOINT
38255.hospitaltype,Acute CarX HospitaXs,Acute Care Hospitals
47396.hospitaltype,AcXte Care HospiXals,Acute Care Hospitals
15612.address1,1338 PHAX AXE,1338 PHAY AVE
21880.stateavg,XL_AMX-7A,FL_AMI-7A
22824.city,CXRRXLLTON,CARROLLTON
39702.hospitaltype,Critical AcXesX Hospitals,Critical Access Hospitals
30437.condition,HeaXt Xailure,Heart Failure
12005.stateavg,CA_XF-X,CA_HF-1
41950.measurename,PneumoXia PatienXs Given Smoking Cessation Advice/Counseling,Pneumonia Patients Given Smoking Cessation Advice/Counseling
49302.stateavg,MI_SCIP-XXRD-2,MI_SCIP-CARD-2
5830.stateavg,AR_SCIX-XNF-3,AR_SCIP-INF-3
36781.measurename,patients who got treatment  at thX right time (within 24 hours before or after their surgery) to help prevent blood clots after certXin types of surgery,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery
42847.stateavg,LXXHF-1,LA_HF-1
38991.measurename,Pneumonia PXtientsXAssessed and Given Influenza Vaccination,Pneumonia Patients Assessed and Given Influenza Vaccination
33875.measurename,PneumoniaXPatients Given Initial Antibiotic(s) within 6 Hours Xfter Arrival,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival
38046.stateavg,KS_SCXP-XTE-2,KS_SCIP-VTE-2
38034.hospitaltype,Acute CaXe HoXpitals,Acute Care Hospitals
24407.address1,2230 XILIHA STXEET,2230 LILIHA STREET
45004.measurename,Heart AttacX Patients Given Beta BloXker at Discharge,Heart Attack Patients Given Beta Blocker at Discharge
15862.address1,X100 CARSON XVENUE,1100 CARSON AVENUE
10229.stateavg,CA_AMX-X,CA_AMI-2
38296.address1,3333 NORXH XEBB ROAD,3333 NORTH WEBB ROAD
39726.address1,614 S MAIXXSTREET,614 S MAIN STREET
22943.condition,HXart FXilure,Heart Failure
7242.city,OJAX,OJAI
44977.measurename,Heart Attack Patients Given ACE InhibXtor or ARB for LXft Ventricular Systolic Dysfunction (LVSD),Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
23435.address1,316 NOXTH BROAD STRXET,316 NORTH BROAD STREET
11007.hospitaltype,Xcute Care Xospitals,Acute Care Hospitals
24100.stateavg,GAXSXIP-INF-4,GA_SCIP-INF-4
46874.condition,PXeXmonia,Pneumonia
15720.hospitaltype,Xcute Care HospitaXs,Acute Care Hospitals
16324.condition,Heart XaXlure,Heart Failure
13133.city,XOS ANGELXS,LOS ANGELES
16484.stateavg,CO_SCXP-XNF-3,CO_SCIP-INF-3
16305.measurename,Pneumonia Patients AXsessed and Given Influenza Xaccination,Pneumonia Patients Assessed and Given Influenza Vaccination
31734.measurename,surgery patients who were given an anXibiotic at the rXght time (within one hour before surgery) to help prevent infection,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection
3465.condition,PneuXonXa,Pneumonia
8050.stateavg,CAXSCIPXINF-6,CA_SCIP-INF-6
17577.address1,BRXWSTERXRD,BREWSTER RD
7217.hospitaltype,Acute CXre HXspitals,Acute Care Hospitals
41189.address1,723 BURKESVIXXE ROAD,723 BURKESVILLE ROAD
9981.stateavg,XA_XMI-8A,CA_AMI-8A
33900.city,XNGOLX,ANGOLA
31689.address1,220X RANDALIA XR,2200 RANDALIA DR
48686.hospitaltype,AcuXe Care HospitaXs,Acute Care Hospitals
16909.city,XXEKER,MEEKER
15869.condition,HeartXFailXre,Heart Failure
25781.city,LXKELXND,LAKELAND
39090.hospitaltype,Xcute CarX Hospitals,Acute Care Hospitals
18069.address1,115X VARXUM ST NE,1150 VARNUM ST NE
1427.stateavg,ALXHF-X,AL_HF-1
28628.condition,SXrgical Infection PreveXtion,Surgical Infection Prevention
5393.condition,PnXXmonia,Pneumonia
36154.condition,HeartXAttacX,Heart Attack
26612.measurename,Pneumonia Patients Whose Initial Emergency Room Blood Culture WasXPerformed Prior To ThX Administration Of The First Hospital Dose Of Antibiotics,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics
39439.address1,506 3RX STXEET,506 3RD STREET
3913.measurename,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippersXor hair removal creaX �C not a razor),surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor)
18480.address1,5X51 N 9TH XVE,5151 N 9TH AVE
37786.measurename,PneumoniX Patients Xiven Initial Antibiotic(s) within 6 Hours After Arrival,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival
38911.address1,14TH & XRXGON,14TH & OREGON
33555.city,INDXANAXOLIS,INDIANAPOLIS
21913.hospitaltype,AcXte CarX Hospitals,Acute Care Hospitals
27768.hospitaltype,Acute Care XospitaXs,Acute Care Hospitals
35445.stateavg,IA_XCIP-XNF-1,IA_SCIP-INF-1
34421.measurename,Heart Attack Patients Given PCI Within 90 MXnutes Of ArriXal,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival
26268.address1,67 1125XMAMALAHOA HIGHWAX,67 1125 MAMALAHOA HIGHWAY
23100.city,CARXEXSVILLE,CARTERSVILLE
32453.city,XMPOXIA,EMPORIA
25212.condition,HeartXAttacX,Heart Attack
26778.measurename,patients who got treatmXnt  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certXin types of surgery,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery
23771.hospitaltype,AcuteXCXre Hospitals,Acute Care Hospitals
15375.city,MOXTROSX,MONTROSE
6182.condition,SXrgical InfectiXn Prevention,Surgical Infection Prevention
26575.measurename,Heart Attack PatXents Given Aspirin atXArrival,Heart Attack Patients Given Aspirin at Arrival
26344.hospitaltype,CriticalXAccesX Hospitals,Critical Access Hospitals
37577.condition,XneumXnia,Pneumonia
15088.address1,914 XINE STXEET,914 PINE STREET
27132.hospitaltype,Acute CXrX Hospitals,Acute Care Hospitals
24347.stateavg,GAXHFX4,GA_HF-4
47409.stateavg,MX_AMI-X,MA_AMI-1
28157.measurename,Heart Attack Patients GivXnXAspirin at Arrival,Heart Attack Patients Given Aspirin at Arrival
27615.hospitaltype,Acute Care XXspitals,Acute Care Hospitals
345.stateavg,AL_SXIP-INF-X,AL_SCIP-INF-4
1295.stateavg,AX_XN-2,AL_PN-2
31190.condition,Heart XaiXure,Heart Failure
49360.hospitaltype,AcuteXCare HoXpitals,Acute Care Hospitals
37919.condition,Surgical Xnfection PrevenXion,Surgical Infection Prevention
45257.address1,329 MXINX ST,329 MAINE ST
14090.city,TXRXANA,TARZANA
27280.condition,SurgXcal InfeXtion Prevention,Surgical Infection Prevention
33011.measurename,Heart Attack PatXents Given Smoking Cessation AdvXce/Counseling,Heart Attack Patients Given Smoking Cessation Advice/Counseling
22571.hospitaltype,Critical AccesX HoXpitals,Critical Access Hospitals
23485.stateavg,GA_XXIP-INF-3,GA_SCIP-INF-3
27192.hospitaltype,Acute CXre HospiXals,Acute Care Hospitals
23911.city,CXXYERS,CONYERS
5326.city,NORTH LXTXLE ROCK,NORTH LITTLE ROCK
33818.stateavg,XN_HF-X,IN_HF-1
13940.city,MXNTXREY PARK,MONTEREY PARK
43072.address1,36X BXOADWAY,360 BROADWAY
42963.city,NEW IXEXIA,NEW IBERIA
16696.hospitaltype,CritXcal Access HospiXals,Critical Access Hospitals
7061.address1,4X0 3XTH ST BOX 1888,420 34TH ST BOX 1888
1794.condition,SurgiXal Infection PrXvention,Surgical Infection Prevention
43788.address1,5X3 MCMILLANXROAD,503 MCMILLAN ROAD
28350.city,CHIXAGX,CHICAGO
28902.condition,PneumXXia,Pneumonia
14080.address1,102X S ANAHEIMXBLVD,1025 S ANAHEIM BLVD
28646.city,SPRING XALLXY,SPRING VALLEY
2096.stateavg,AX_SCIP-INFX4,AL_SCIP-INF-4
2339.city,MUXCXE SHOALS,MUSCLE SHOALS
47166.city,XEXMINSTER,LEOMINSTER
17946.city,WILMXNXTON,WILMINGTON
222.measurename,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular SystoliX Dysfunction (LVSDX,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
25770.address1,852 W TXIGPEN AVXNUE,852 W THIGPEN AVENUE
18523.stateavg,XL_SCIX-INF-4,FL_SCIP-INF-4
17004.hospitaltype,Acute CXrX Hospitals,Acute Care Hospitals
3901.address1,9003 EAST SHEA BXXLEVARD,9003 EAST SHEA BOULEVARD
8769.measurename,surgery patients who were given the  right kind Xof antiXiotic to help prevent infection,surgery patients who were given the  right kind  of antibiotic to help prevent infection
21474.hospitaltype,AcutX Care HospitaXs,Acute Care Hospitals
1018.hospitaltype,AcuXe Care HospitalX,Acute Care Hospitals
11567.city,XOLXSA,COLUSA
4210.address1,1367X WEST MCDOWEXL ROAD,13677 WEST MCDOWELL ROAD
10081.measurename,Heart Attack Patients Given PCI WithinX90 Minutes Xf Arrival,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival
31641.measurename,Heart Attack XatientsXGiven Aspirin at Arrival,Heart Attack Patients Given Aspirin at Arrival
38875.measurename,Heart AttXck Patients Given Aspirin Xt Arrival,Heart Attack Patients Given Aspirin at Arrival
48134.condition,HeXrX Attack,Heart Attack
45866.city,PITTSXIELX,PITTSFIELD
43855.city,VILLX PLATTX,VILLE PLATTE
10933.condition,Heart XtXack,Heart Attack
8510.address1,151X7 VANOWENXST,15107 VANOWEN ST
19150.stateavg,XL_AXI-5,FL_AMI-5
39518.measurename,Heart AXtack Patients Given AsXirin at Discharge,Heart Attack Patients Given Aspirin at Discharge
42525.measurename,Heart FaiXure Patients Given Smoking CessaXion Advice/Counseling,Heart Failure Patients Given Smoking Cessation Advice/Counseling
32986.address1,800 W XTH SX,800 W 9TH ST
17576.condition,HeXrt AttXck,Heart Attack
18688.condition,Heart FailXXe,Heart Failure
8698.measurename,surgery patients whose doctoXs ordered treatments to prevXnt blood clots after certain types of surgeries,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries
19843.condition,XearX Attack,Heart Attack
15919.hospitaltype,Acute Care HospitXXs,Acute Care Hospitals
6100.hospitaltype,AcuteXCare Xospitals,Acute Care Hospitals
13974.measurename,Heart Failure Patients Xiven Smoking Cessation Advice/CouXseling,Heart Failure Patients Given Smoking Cessation Advice/Counseling
1176.address1,380 WOODS COXE ROAX,380 WOODS COVE ROAD
42792.city,SXREXEPORT,SHREVEPORT
4725.measurename,patients who got treatment  at the right time (within 24 hours before oXXafter their surgery) to help prevent blood clots after certain types of surgery,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery
12878.condition,Surgical InfeXtion PrevenXion,Surgical Infection Prevention
8315.address1,222 W 3XTH AXE,222 W 39TH AVE
40205.condition,HeartXXttack,Heart Attack
7594.condition,SurXical InXection Prevention,Surgical Infection Prevention
45373.hospitaltype,AcuteXCare Xospitals,Acute Care Hospitals
30900.condition,SurXical Infection PXevention,Surgical Infection Prevention
8668.condition,HXart FailXre,Heart Failure
42226.hospitaltype,AcutX Care HospiXals,Acute Care Hospitals
31357.address1,6X0 GRANX ST,600 GRANT ST
40667.condition,HeaXt FailuXe,Heart Failure
10981.city,SXNTA BARXARA,SANTA BARBARA
26184.measurename,surgery patients needing hair removed from the surgical area before surgery&#54; who hadXhair removed using a safer method (electric clippeXs or hair removal cream �C not a razor),surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor)
34160.hospitaltype,Xritical Access HospiXals,Critical Access Hospitals
39389.stateavg,XS_AMIX3,KS_AMI-3
8176.condition,SurgicXl Infection Xrevention,Surgical Infection Prevention
44067.address1,4XX0 NELSON ROAD,4200 NELSON ROAD
42546.city,ALEXANDRXX,ALEXANDRIA
4953.stateavg,AR_SCXP-VTX-2,AR_SCIP-VTE-2
15371.condition,HeXrt AttXck,Heart Attack
46247.city,BALXXMORE,BALTIMORE
45475.stateavg,XE_XN-2,ME_PN-2
22810.stateavg,GA_AMXX2,GA_AMI-2
22146.hospitaltype,AcuteXCarX Hospitals,Acute Care Hospitals
23431.measurename,PneXmonia Patients Assessed and Given Influenza VaccXnation,Pneumonia Patients Assessed and Given Influenza Vaccination
18573.address1,1100XNW 95TH XT,1100 NW 95TH ST
25641.city,FORXXTH,FORSYTH
27172.hospitaltype,AcuteXCare HXspitals,Acute Care Hospitals
47131.stateavg,MD_SCIXXINF-6,MD_SCIP-INF-6
35779.measurename,Heart AttacX Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic DysfXnction (LVSD),Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
21733.city,SUN CITX CENXER,SUN CITY CENTER
33393.condition,Xeart FXilure,Heart Failure
11034.city,GRXEXBRAE,GREENBRAE
21662.measurename,surgery patients who were taking heart dXugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just beXore and after their surgery,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery
6613.stateavg,ARXSCIPXINF-2,AR_SCIP-INF-2
24254.stateavg,GX_XMI-1,GA_AMI-1
25086.condition,HeartXFaXlure,Heart Failure
35507.stateavg,IA_AXI-7X,IA_AMI-7A
35976.hospitaltype,Critical Access HosXitalX,Critical Access Hospitals
8270.hospitaltype,AcuXe Care HospiXals,Acute Care Hospitals
20884.condition,HeXrt AttaXk,Heart Attack
46428.measurename,Heart Attack Patients Given AspiriX Xt Discharge,Heart Attack Patients Given Aspirin at Discharge
45360.stateavg,MX_XF-1,ME_HF-1
11820.address1,1145 W XEDONDO BEACX BLVD,1145 W REDONDO BEACH BLVD
47000.stateavg,XDXPN-7,MD_PN-7
46222.address1,X0X ST PAUL PLACE,301 ST PAUL PLACE
8311.city,SXN XATEO,SAN MATEO
14596.stateavg,CA_SCIPXCXRD-2,CA_SCIP-CARD-2
8370.stateavg,XA_PX-5C,CA_PN-5C
1708.condition,XXeumonia,Pneumonia
37512.city,TOXXKA,TOPEKA
40379.hospitaltype,AcuXe CareXHospitals,Acute Care Hospitals
13152.stateavg,XA_SCIPXINF-3,CA_SCIP-INF-3
21853.hospitaltype,AcXte Xare Hospitals,Acute Care Hospitals
8569.condition,Heart FailXXe,Heart Failure
3834.city,PXOEXIX,PHOENIX
47904.hospitaltype,AcXte CaXe Hospitals,Acute Care Hospitals
26956.city,XERRIX,HERRIN
20155.hospitaltype,Acute Care HXspiXals,Acute Care Hospitals
25048.address1,102 HOSXITAX CIR,102 HOSPITAL CIR
12574.address1,27700XMEDICXL CENTER RD,27700 MEDICAL CENTER RD
77.hospitaltype,Acute Care HosXXtals,Acute Care Hospitals
38621.condition,SurgicXl Infection PreventiXn,Surgical Infection Prevention
35503.city,GUTTXXBERG,GUTTENBERG
7031.hospitaltype,Acute Care HosXiXals,Acute Care Hospitals
12509.stateavg,CAXXMI-7A,CA_AMI-7A
4408.hospitaltype,Acute CaXe HospitalX,Acute Care Hospitals
44565.city,XAFAXETTE,LAFAYETTE
42298.city,NXW ORLEANX,NEW ORLEANS
47194.condition,HearX Xailure,Heart Failure
21379.measurename,Pneumonia PatXents Whose Initial Emergency Room Blood Culture Was Performed Prior To Xhe Administration Of The First Hospital Dose Of Antibiotics,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics
38658.hospitaltype,CriticaXXAccess Hospitals,Critical Access Hospitals
4607.hospitaltype,CXiXical Access Hospitals,Critical Access Hospitals
38572.stateavg,KS_SCIPXINX-6,KS_SCIP-INF-6
6098.city,FAYETTXVILXE,FAYETTEVILLE
30301.address1,ONX MEDICAL CXNTER DRIVE,ONE MEDICAL CENTER DRIVE
20214.condition,Surgical InfectXXn Prevention,Surgical Infection Prevention
14805.stateavg,CAXXMI-2,CA_AMI-2
29496.condition,HeXrt FailurX,Heart Failure
5195.city,XONXSBORO,JONESBORO
27903.hospitaltype,AcutX Care HospitXls,Acute Care Hospitals
46184.city,TXWXON,TOWSON
44936.condition,PneumXnXa,Pneumonia
1614.address1,750XMXRPHY AVENUE,750 MORPHY AVENUE
44860.condition,HeXrtXFailure,Heart Failure
3363.city,PHXXNIX,PHOENIX
32022.condition,HeaXt AttaXk,Heart Attack
47713.address1,680 XENTER SXREET,680 CENTER STREET
41730.stateavg,XY_SCIP-IXF-1,KY_SCIP-INF-1
45329.address1,489 SXATEXST,489 STATE ST
22091.measurename,Pneumonia Patients Given Smoking CessatXon Advice/CounseliXg,Pneumonia Patients Given Smoking Cessation Advice/Counseling
32955.measurename,surgery patients needing hair removeX from the surgical area before surgery&#54; who had hair removed Xsing a safer method (electric clippers or hair removal cream �C not a razor),surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor)
25279.stateavg,GX_SCIP-INF-X,GA_SCIP-INF-4
33479.condition,SurgiXal InfXction Prevention,Surgical Infection Prevention
22757.hospitaltype,AXuXe Care Hospitals,Acute Care Hospitals
27825.stateavg,XLXAMI-2,IL_AMI-2
42768.address1,1X01 XAUSE BLVD,1001 GAUSE BLVD
27631.address1,3249 SOUTH OAK PAXKXAVENUE,3249 SOUTH OAK PARK AVENUE
44092.measurename,patients whXXgot treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery
39052.address1,811 EXST PARRISH AVENUX,811 EAST PARRISH AVENUE
20182.condition,PnXumXnia,Pneumonia
44341.stateavg,XA_SCIPXVTE-1,LA_SCIP-VTE-1
23582.hospitaltype,AcuXe Care HospXtals,Acute Care Hospitals
2778.measurename,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First HospitaXXDose Of Antibiotics,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics
2829.city,WRANGXLX,WRANGELL
20816.address1,3100 DOUXXAS RD,3100 DOUGLAS RD
22962.measurename,Heart AttackXPatients Given Smoking Cessation AdvicX/Counseling,Heart Attack Patients Given Smoking Cessation Advice/Counseling
29403.condition,SXrgical Infection PreveXtion,Surgical Infection Prevention
12723.city,XAKEWXOD,LAKEWOOD
23891.measurename,Pneumonia PatientsXGiven the Most Appropriate Initial AntiXiotic(s),Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s)
48211.city,GARDNXX,GARDNER
8881.hospitaltype,Xcute Care HoXpitals,Acute Care Hospitals
12695.measurename,Pneumonia Patients AssesseX anX Given Influenza Vaccination,Pneumonia Patients Assessed and Given Influenza Vaccination
32883.measurename,Heart Attack PatienXs Given Aspirin at ArrivXl,Heart Attack Patients Given Aspirin at Arrival
45488.hospitaltype,Acute Care HoXpitXls,Acute Care Hospitals
40573.address1,801 EASTXRN BYXASS,801 EASTERN BYPASS
19155.address1,2190 HIXHWAY X5 NORTH,2190 HIGHWAY 85 NORTH
4545.condition,Xurgical InfectioX Prevention,Surgical Infection Prevention
17633.stateavg,CT_HXX2,CT_HF-2
28211.address1,1100 EAST NORRIS DXXVE,1100 EAST NORRIS DRIVE
45014.city,CUT OXX,CUT OFF
22837.hospitaltype,AcXte CXre Hospitals,Acute Care Hospitals
41362.address1,400X KRESXE WAY,4000 KRESGE WAY
27259.address1,820 X DAMXN STREET,820 S DAMEN STREET
37243.condition,HXart AtXack,Heart Attack
14006.address1,555 XAST HARDX STREET,555 EAST HARDY STREET
11871.stateavg,CX_SXIP-VTE-1,CA_SCIP-VTE-1
49012.condition,SurgicaX InXection Prevention,Surgical Infection Prevention
48165.measurename,PneumoniaXPXtients Assessed and Given Pneumococcal Vaccination,Pneumonia Patients Assessed and Given Pneumococcal Vaccination
21061.stateavg,FX_AXI-3,FL_AMI-3
31021.condition,SXrgical InfectXon Prevention,Surgical Infection Prevention
37641.condition,HeartXXttack,Heart Attack
8398.condition,SurgicalXInXection Prevention,Surgical Infection Prevention
28846.measurename,Heart Failure PatienXsXGiven Smoking Cessation Advice/Counseling,Heart Failure Patients Given Smoking Cessation Advice/Counseling
33168.address1,41X9 GATEWAY BXVD,4199 GATEWAY BLVD
23144.address1,X63 HOSPXTAL DRIVE,163 HOSPITAL DRIVE
10615.hospitaltype,AcXte Care - XA Medical Center,Acute Care - VA Medical Center
4244.city,TUXXON,TUCSON
12291.condition,PXeumXnia,Pneumonia
38352.condition,Heart AttaXX,Heart Attack
11222.address1,210 W  SXN BERNARDINO RXAD,210 W  SAN BERNARDINO ROAD
6095.city,FAYETTXVXLLE,FAYETTEVILLE
17418.hospitaltype,Xcute Care HospXtals,Acute Care Hospitals
5885.hospitaltype,Xcute Care - VA Medical CXnter,Acute Care - VA Medical Center
17557.measurename,Heart Failure Patients GiveX DisXharge Instructions,Heart Failure Patients Given Discharge Instructions
44971.condition,SuXgical Infection PrXvention,Surgical Infection Prevention
5000.condition,SurgicalXInfeXtion Prevention,Surgical Infection Prevention
1494.condition,SurgXcal Infection PrevenXion,Surgical Infection Prevention
543.hospitaltype,Acute Care HosXXtals,Acute Care Hospitals
454.address1,1X00 SXUTH MONTGOMERY AVENUE,1300 SOUTH MONTGOMERY AVENUE
26588.address1,6X1 MEMORIAX DRIVE,651 MEMORIAL DRIVE
24154.stateavg,GA_AMIXX,GA_AMI-1
35016.address1,1801 HXCKXAN ROAD,1801 HICKMAN ROAD
35698.stateavg,IA_SCXPXINF-4,IA_SCIP-INF-4
13548.measurename,Heart Failure Patients Given ACE Inhibitor or ARB Xor Left Ventricular Xystolic Dysfunction (LVSD),Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
48088.address1,148 CHESTNUXXSTREET,148 CHESTNUT STREET
46962.address1,8118 GOOD LUXK ROAX,8118 GOOD LUCK ROAD
22792.measurename,Heart Failure Patients Given an EvalXation of LeXt Ventricular Systolic (LVS) Function,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function
18144.city,JACKSONVIXLX,JACKSONVILLE
47290.address1,P O BOX 640; X7 PARK STREET,P O BOX 640; 27 PARK STREET
16213.hospitaltype,Acute CaXe HospiXals,Acute Care Hospitals
11259.address1,1X17 EAST DEXONSHIRE,1117 EAST DEVONSHIRE
12946.condition,PXXumonia,Pneumonia
4401.hospitaltype,Acute Care XoXpitals,Acute Care Hospitals
31475.stateavg,IN_HXX3,IN_HF-3
34477.city,FXRX DODGE,FORT DODGE
46268.measurename,Pneumonia Patients AsseXsed and GXven Influenza Vaccination,Pneumonia Patients Assessed and Given Influenza Vaccination
11239.stateavg,CAXHF-X,CA_HF-2
29415.measurename,Heart AttackXPatients Given Beta Blocker at DischXrge,Heart Attack Patients Given Beta Blocker at Discharge
19193.hospitaltype,Acute Care HospXtaXs,Acute Care Hospitals
6406.hospitaltype,CXitical Xccess Hospitals,Critical Access Hospitals
5379.hospitaltype,Acute Xare HospitXls,Acute Care Hospitals
40837.condition,PneumonXX,Pneumonia
37980.condition,Heart FaiXuXe,Heart Failure
43582.address1,309 JACXSON XTREET,309 JACKSON STREET
42923.city,XENNXNGS,JENNINGS
40954.hospitaltype,Acute Care HosXitXls,Acute Care Hospitals
26890.hospitaltype,XcuXe Care Hospitals,Acute Care Hospitals
8034.city,WEST CXVINX,WEST COVINA
35822.stateavg,IX_SCIP-INFX3,IA_SCIP-INF-3
11487.address1,250 NORXHXFIRST STREET,250 NORTH FIRST STREET
2571.condition,PXeumoXia,Pneumonia
6338.hospitaltype,CritiXaX Access Hospitals,Critical Access Hospitals
34105.stateavg,IN_SCIPXXNF-2,IN_SCIP-INF-2
36385.stateavg,IX_AMIX4,IA_AMI-4
42754.hospitaltype,Acute Xare HospiXals,Acute Care Hospitals
21041.condition,HeaXt FXilure,Heart Failure
