38459.city,MIRAMAR BEACH,ST FRANCIS
35938.measurename,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,Pneumonia Patients Assessed and Given Pneumococcal Vaccination
21410.stateavg,AZ_PN-5C,FL_SCIP-INF-1
1511.stateavg,KY_SCIP-INF-6,AL_PN-7
10554.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
9874.measurename,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s),patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery
23619.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
21428.stateavg,AZ_PN-7,FL_PN-2
47914.stateavg,IN_SCIP-INF-3,MA_SCIP-INF-1
49038.address1,1415 ROSS AVENUE,274 E CHICAGO ST
6303.city,CRESCENT CITY,NASHVILLE
49703.address1,3630 GUION RD,800 S WASHINGTON AVENU
47115.stateavg,AR_SCIP-INF-3,MD_AMI-8A
10835.city,DEMOREST,ORANGE
49807.address1,1499 FAIR ROAD,955 S BAILEY AVE
4779.city,DENVER,BISBEE
11160.city,NEWPORT,SUN VALLEY
48192.measurename,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics,Pneumonia Patients Given Smoking Cessation Advice/Counseling
43531.condition,Pneumonia,Surgical Infection Prevention
21439.address1,1701 SOUTH PELHAM ROAD,449 W 23RD ST
39374.city,RICHMOND,MARION
46194.measurename,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery
46161.address1,803 POPLAR STREET,501 S UNION AVE
37888.stateavg,IL_PN-5C,KS_PN-7
36033.measurename,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival
14429.city,FAYETTEVILLE,SHERMAN OAKS
19147.city,NO LITTLE ROCK,NICEVILLE
33473.stateavg,CA_PN-5C,IN_PN-3B
35131.condition,Surgical Infection Prevention,Heart Failure
19463.condition,Surgical Infection Prevention,Heart Failure
32622.hospitaltype,Acute Care - VA Medical Center,Acute Care Hospitals
33214.condition,Surgical Infection Prevention,Heart Attack
49422.measurename,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics
16129.measurename,Heart Attack Patients Given Aspirin at Discharge,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection
2280.address1,801 E LASALLE AVENUE,29 L V STABLER DRIVE
28326.condition,Heart Failure,Surgical Infection Prevention
49785.stateavg,GA_AMI-4,MI_AMI-1
830.condition,Heart Failure,Heart Attack
39226.measurename,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival
47732.measurename,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,Pneumonia Patients Assessed and Given Pneumococcal Vaccination
5905.stateavg,MI_PN-2,AR_SCIP-INF-3
13168.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
8746.condition,Pneumonia,Surgical Infection Prevention
16727.stateavg,LA_PN-2,CO_PN-4
30927.condition,Heart Failure,Surgical Infection Prevention
44941.measurename,Heart Attack Patients Given Beta Blocker at Discharge,Pneumonia Patients Assessed and Given Influenza Vaccination
11605.stateavg,CA_SCIP-INF-6,CA_PN-7
43172.condition,Heart Failure,Pneumonia
48485.hospitaltype,Acute Care - VA Medical Center,Acute Care Hospitals
15958.measurename,surgery patients who were given the  right kind  of antibiotic to help prevent infection,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor)
41969.condition,Heart Attack,Heart Failure
35029.address1,254 MAIN STREET,4500 UTICA ROAD
23870.address1,1001 NORTH TUSTIN AVENUE,1000 MEDICAL CENTER BOULEVARD
18250.measurename,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),Heart Failure Patients Given Discharge Instructions
46155.city,WINFIELD,TAWAS CITY
44691.address1,200 BERTEAU AVE,815 SOUTH 10TH STREET
34372.condition,Heart Attack,Heart Failure
24125.stateavg,MI_SCIP-VTE-2,GA_SCIP-INF-4
33935.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
34255.city,MAGNOLIA,CORYDON
26609.measurename,Heart Attack Patients Given Aspirin at Discharge,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
4017.measurename,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor),Heart Attack Patients Given Aspirin at Discharge
34895.city,BOCA RATON,CEDAR RAPIDS
6991.condition,Heart Attack,Heart Failure
7532.city,NATCHITOCHES,SANTA CLARA
34096.condition,Surgical Infection Prevention,Heart Failure
36492.address1,631 N 8TH ST,1000 LINCOLN CIRCLE SE
10361.city,ARKADELPHIA,HOLLISTER
26753.condition,Heart Attack,Surgical Infection Prevention
31869.city,LAKE CHARLES,VALPARAISO
43507.city,NEW SMYRNA BEACH,BASTROP
43733.address1,280 W MAC ARTHUR BLVD,187 NINTH ST/HWY 84 WEST
21518.measurename,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries
31635.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
31407.city,CLARINDA,DANVILLE
11252.measurename,Heart Failure Patients Given Smoking Cessation Advice/Counseling,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery
3991.address1,7301 ROGERS AVE,14502 WEST MEEKER BOULEVARD
23546.stateavg,CA_SCIP-INF-4,GA_AMI-8A
11418.address1,200 MEMORIAL AVE,25825 SOUTH VERMONT AVENUE
25595.address1,1829 COLLEGE AVENUE,630 COLUMBIA ROAD
3013.address1,1700 E. 38TH STREET,1601 WEST ST MARY'S ROAD
49512.condition,Surgical Infection Prevention,Heart Attack
40551.measurename,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor),surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery
48682.condition,Pneumonia,Surgical Infection Prevention
11450.city,EAST POINT,FOLSOM
12639.address1,1007 LINCOLNWAY,39-000 BOB HOPE DRIVE
33534.stateavg,CA_SCIP-VTE-2,IN_SCIP-VTE-1
3420.address1,450 WEST HIGHWAY 22,475 SOUTH DOBSON ROAD
8998.stateavg,CA_HF-1,CA_SCIP-VTE-1
15607.address1,309 JACKSON STREET,1338 PHAY AVE
45838.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
17399.condition,Surgical Infection Prevention,Heart Attack
28721.stateavg,CA_AMI-4,IL_PN-5C
28997.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
45416.condition,Pneumonia,Heart Attack
13367.city,BURLEY,KINGSBURG
1878.stateavg,CO_PN-4,AL_AMI-4
4086.stateavg,IL_HF-1,AZ_SCIP-INF-3
42858.stateavg,IN_SCIP-VTE-2,LA_SCIP-INF-1
47485.address1,1125 WEST HIGHWAY 30,40 WRIGHT STREET
4842.condition,Heart Failure,Pneumonia
2331.address1,1515 SOUTH PHILLIPS STREET,201 WEST AVALON AVENUE
16880.city,CEDAR FALLS,ASPEN
18516.stateavg,CA_HF-1,FL_PN-5C
34073.city,GARDEN GROVE,LAGRANGE
19432.measurename,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
47517.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
571.city,HAMPTON,VALLEY
44266.address1,1601 YGNACIO VALLEY RD,1125 WEST HIGHWAY 30
25409.hospitaltype,Acute Care Hospitals,Acute Care - VA Medical Center
41441.measurename,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
46828.condition,Heart Attack,Surgical Infection Prevention
15850.measurename,Children and their Caregivers Who Received a Home Management Plan of Care Document While Hospitalized for Asthma,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival
12988.measurename,Heart Attack Patients Given Beta Blocker at Discharge,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival
9722.address1,610 TENTH STREET,300 W HUNTINGTON DR
33835.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
45369.condition,Surgical Infection Prevention,Pneumonia
24712.address1,800 E MAIN,1120 MORNINGSIDE DR
27435.city,SAINT CLOUD,FREEPORT
6738.measurename,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,Pneumonia Patients Assessed and Given Influenza Vaccination
22234.measurename,Heart Failure Patients Given Discharge Instructions,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival
32704.condition,Heart Attack,Surgical Infection Prevention
3257.address1,30 LOCUST STREET,1800 EAST FLORENCE BOULEVARD
36707.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
36167.condition,Surgical Infection Prevention,Pneumonia
46308.measurename,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival
47784.condition,Surgical Infection Prevention,Pneumonia
47126.stateavg,IA_SCIP-INF-3,MD_SCIP-CARD-2
27048.measurename,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,surgery patients who were given the  right kind  of antibiotic to help prevent infection
40186.stateavg,CA_PN-4,KY_HF-3
44862.city,BROOKSVILLE,JONESBORO
27074.address1,221 MAHALANI STREET,200 S CEDAR ST
27637.condition,Heart Attack,Pneumonia
44626.address1,1 VA CENTER,180 WEST ESPLANADE AVENUE
30047.address1,286 16TH STREET,1555 N BARRINGTON RD
29625.condition,Heart Attack,Pneumonia
30922.stateavg,IA_SCIP-VTE-1,IL_SCIP-INF-1
49348.measurename,Heart Attack Patients Given Aspirin at Discharge,Pneumonia Patients Given Smoking Cessation Advice/Counseling
8626.condition,Pneumonia,Surgical Infection Prevention
23260.hospitaltype,Acute Care - VA Medical Center,Acute Care Hospitals
22680.condition,Surgical Infection Prevention,Heart Attack
4055.city,GRACEVILLE,TUCSON
33532.measurename,Heart Failure Patients Given Discharge Instructions,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery
36796.measurename,Heart Failure Patients Given Smoking Cessation Advice/Counseling,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival
35544.address1,1201 N W 16TH STREET,1118 11TH STREET
3980.condition,Surgical Infection Prevention,Pneumonia
27367.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
46311.condition,Pneumonia,Heart Failure
6241.condition,Surgical Infection Prevention,Heart Attack
43153.stateavg,AZ_PN-5C,LA_SCIP-INF-6
13415.address1,126 HOSPITAL AVE,10800 MAGNOLIA AVENUE
9507.stateavg,CA_SCIP-INF-2,CA_HF-1
47794.measurename,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries
40216.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
41438.condition,Pneumonia,Heart Attack
5813.hospitaltype,Acute Care - VA Medical Center,Acute Care Hospitals
28761.city,FORT VALLEY,CHICAGO
988.measurename,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),Heart Failure Patients Given Discharge Instructions
6341.city,HANFORD,DE WITT
9906.hospitaltype,Acute Care Hospitals,Acute Care - VA Medical Center
30440.stateavg,KY_AMI-4,IL_PN-2
47050.city,MINDEN,BALTIMORE
19864.condition,Heart Failure,Surgical Infection Prevention
7614.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
156.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
10969.measurename,surgery patients who were given the  right kind  of antibiotic to help prevent infection,Pneumonia Patients Given Smoking Cessation Advice/Counseling
31191.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
14676.stateavg,AZ_PN-2,CA_SCIP-INF-6
13906.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
44412.city,LOS ANGELES,RUSTON
8597.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
39366.stateavg,IL_AMI-7A,KS_AMI-5
17891.address1,600 NORTH  WOLFE STREET,801 MIDDLEFORD RD
35962.stateavg,CA_SCIP-VTE-1,IA_HF-4
26340.stateavg,GA_PN-5C,HI_AMI-4
11312.address1,201 EIGHTH AVENUE SE,147 N BRENT ST
7514.address1,489 STATE ST,1200 EL CAMINO REAL
44872.address1,3215 N NORTH HILLS BLVD,165 BEECH SPRINGS ROAD
42161.address1,1395 S PINELLAS AVE,153 DOWELL ROAD; PO BOX 1610
41903.condition,Heart Attack,Pneumonia
45333.condition,Surgical Infection Prevention,Heart Attack
27554.city,LINDSBORG,SKOKIE
6284.address1,1101 MICHIGAN AVE,HIGHWAY 14 EAST
42516.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
16511.city,PAGOSA SPRINGS,DEL NORTE
32487.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
15314.condition,Heart Attack,Surgical Infection Prevention
9379.city,LAFAYETTE,GLENDORA
8178.city,CORONA,LYNWOOD
21866.address1,5000 KENTUCKY RTE 321,21644 STATE RD 7
16987.condition,Heart Attack,Surgical Infection Prevention
10634.address1,710 CENTER ST BOX 951,1411 E 31ST ST
41010.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
47337.condition,Pneumonia,Heart Attack
578.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
42333.condition,Pneumonia,Surgical Infection Prevention
24511.measurename,Pneumonia Patients Assessed and Given Pneumococcal Vaccination,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor)
14728.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
405.measurename,surgery patients who were given the  right kind  of antibiotic to help prevent infection,Pneumonia Patients Given Smoking Cessation Advice/Counseling
14717.stateavg,CA_SCIP-CARD-2,CA_PN-4
18076.address1,1375 UNIVERSITY STREET,1150 VARNUM ST NE
3792.stateavg,KS_HF-3,AZ_AMI-2
40400.address1,168 S HOWELL STREET,1000 SAINT CHRISTOPHER DRIVE
6096.measurename,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival
41814.address1,1703 NORTH BUERKLE ROAD,110 METKER TRAIL
28535.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
10385.city,NORTHAMPTON,BARSTOW
5196.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
47233.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
22538.address1,115 WEST SILVER STREET,1360 BRICKYARD ROAD
14996.stateavg,KY_SCIP-VTE-1,CA_SCIP-CARD-2
36095.condition,Pneumonia,Surgical Infection Prevention
16688.city,WA KEENEY,CRAIG
36971.city,WEST PALM BEACH,IOWA FALLS
1474.measurename,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),Heart Attack Patients Given Beta Blocker at Discharge
7762.hospitaltype,Acute Care - VA Medical Center,Acute Care Hospitals
7525.condition,Surgical Infection Prevention,Heart Attack
42752.measurename,Heart Attack Patients Given Aspirin at Discharge,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics
47808.measurename,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics
31620.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
360.city,BRADENTON,WINFIELD
12460.condition,Surgical Infection Prevention,Heart Attack
34943.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
5551.measurename,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),Pneumonia Patients Assessed and Given Influenza Vaccination
24484.address1,23388 MULHOLLAND DRIVE,1703 MEADOWS LN
27471.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
38900.stateavg,IL_PN-4,KS_AMI-1
17781.measurename,Pneumonia Patients Given Smoking Cessation Advice/Counseling,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival
4989.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
27513.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
43358.condition,Heart Failure,Heart Attack
6179.condition,Surgical Infection Prevention,Pneumonia
10705.city,BOSTON,LOMA LINDA
9237.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
42237.address1,115 WEST E STREET,1214 COOLIDGE AVENUE
47620.measurename,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery
26038.address1,3003 HEALTH CENTER DRIVE,1190 WAIANUENUE AVENUE
32742.address1,723 BURKESVILLE ROAD,24 JOLIET ST
49870.condition,Pneumonia,Heart Failure
49052.stateavg,CO_HF-4,MI_AMI-2
23073.condition,Surgical Infection Prevention,Pneumonia
29774.condition,Heart Attack,Pneumonia
20024.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
31113.measurename,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival
16454.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
15435.city,ELLSWORTH,WHEAT RIDGE
233.address1,700 RIVER DR,200 MED CENTER DRIVE
8252.stateavg,IL_AMI-3,CA_SCIP-INF-4
24306.condition,Heart Failure,Heart Attack
46455.condition,Surgical Infection Prevention,Heart Attack
16290.stateavg,LA_AMI-7A,CO_AMI-2
37768.address1,6600 MADISON STREET,550 N HILLSIDE ST
22289.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
39927.stateavg,CO_SCIP-VTE-2,KY_HF-4
21141.condition,Heart Attack,Surgical Infection Prevention
19974.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
47408.address1,901 GRANT STREET,100 SOUTH STREET
6153.city,HOPEDALE,OZARK
25040.condition,Heart Failure,Pneumonia
12282.address1,575 BEECH STREET,9542 E ARTESIA BLVD
38858.address1,1100 MARSHALL WAY,312 CUSTER STREET
24226.address1,1501 E 3RD STREET,303 PARKWAY DR NE
29902.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
34355.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
41492.stateavg,CA_PN-7,KY_HF-4
19900.address1,1301 S MAIN STREET,4200 SUN N' LAKE BLVD
21279.address1,530 NE GLEN OAK AVE,611 ZEAGLER DRIVE
49890.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
9831.city,RACELAND,SALINAS
47389.measurename,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival
1689.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
34473.city,CUMBERLAND,FORT DODGE
12253.address1,9000 FRANKLIN SQUARE DR,17772 BEACH BLVD
4567.address1,8700 BEVERLY BLVD,500 HIGHWAY 89 NORTH
38178.address1,225 E JACKSON,514 CLEVELAND STREET
44947.city,BIRMINGHAM,KAPLAN
43165.address1,620 BYRON RD,3600 FLORIDA STREET
25000.city,IOLA,STOCKBRIDGE
37835.condition,Heart Attack,Pneumonia
47529.stateavg,CA_SCIP-VTE-2,MA_HF-2
9264.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
4903.condition,Pneumonia,Surgical Infection Prevention
23789.stateavg,IA_AMI-5,GA_PN-4
36805.city,NEW ROADS,MOUNT AYR
38888.condition,Surgical Infection Prevention,Pneumonia
20002.address1,441 N WABASH AVE,60 MEMORIAL MEDICAL PARKWAY
25392.condition,Pneumonia,Heart Failure
12683.condition,Surgical Infection Prevention,Heart Attack
18174.condition,Surgical Infection Prevention,Heart Failure
21192.measurename,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,Heart Attack Patients Given Aspirin at Arrival
49188.condition,Pneumonia,Heart Attack
4636.city,SANDWICH,WILLCOX
45057.address1,400 CALDWELL,35 MILES STREET
12071.city,FREDERICK,ENCINITAS
18877.address1,500 EAST ACADEMY,601 MAIN STREET
32307.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
686.city,GRIDLEY,BIRMINGHAM
40309.condition,Heart Attack,Heart Failure
44253.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
15949.address1,325 SPRING STREET,1024 CENTRAL PARK DR
4955.condition,Surgical Infection Prevention,Heart Attack
26958.condition,Pneumonia,Heart Attack
45659.address1,9879 KENTUCKY ROUTE 122; PO BOX 247,10 WAYMAN LANE; PO BOX 8
19503.address1,720 N LINCOLN ST,2500 HARBOR BLVD
9405.address1,1205 E NORTH ST,2070 CLINTON AVE
30508.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
44240.stateavg,ME_PN-2,LA_SCIP-INF-6
48868.stateavg,LA_SCIP-CARD-2,MI_AMI-4
48389.condition,Pneumonia,Heart Failure
34001.stateavg,MA_AMI-7A,IN_PN-6
46835.city,PAINTSVILLE,GLEN BURNIE
46693.condition,Surgical Infection Prevention,Pneumonia
31296.measurename,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,Pneumonia Patients Given Smoking Cessation Advice/Counseling
37228.stateavg,CA_AMI-2,KS_PN-7
22428.address1,1133 W SYCAMORE ST,533 W CARLTON RD
15645.measurename,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries
15362.condition,Heart Attack,Surgical Infection Prevention
19524.city,BIRMINGHAM,ATLANTIS
40635.address1,400 EAST POLK STREET,55 FOUNDATION DRIVE
10884.stateavg,MI_PN-6,CA_AMI-4
15436.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
23536.hospitaltype,Acute Care - VA Medical Center,Acute Care Hospitals
5441.address1,1100 SW 11TH ST,638 CALIFORNIA AVENUE
25478.stateavg,KS_HF-3,GA_SCIP-INF-3
8461.measurename,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor),Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival
45282.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
15333.measurename,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival
32007.address1,200 SPRINGS ROAD,1850 STATE STREET
13049.address1,600 9TH AVENUE NORTH,23845 W MCBEAN PKWY
40090.stateavg,CA_SCIP-INF-4,KY_SCIP-VTE-1
13728.stateavg,IA_SCIP-VTE-1,CA_PN-5C
8989.stateavg,AL_HF-1,CA_PN-5C
27024.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
17252.city,GREENVILLE,ROCKVILLE
26537.address1,901 WILSON STREET,520 NORTH THIRD AVENUE
31039.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
14442.measurename,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery
13989.city,KEOKUK,INGLEWOOD
28152.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
42251.measurename,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor),Pneumonia Patients Assessed and Given Pneumococcal Vaccination
15756.condition,Surgical Infection Prevention,Heart Failure
2526.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
35250.stateavg,KS_SCIP-INF-2,IA_AMI-5
1683.stateavg,IL_SCIP-INF-3,AL_PN-4
18464.stateavg,ID_PN-4,FL_PN-3B
49927.city,IDA GROVE,STURGIS
10111.measurename,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor),Pneumonia Patients Assessed and Given Pneumococcal Vaccination
10265.address1,1105 KALISTE SALOOM ROAD,1328 22ND ST
25575.condition,Pneumonia,Surgical Infection Prevention
40131.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
